status,orgao,origem,tipoMeio,generoDocumental,categoria,tipoDocumento,numeroDocumento,processoOriginario,numeroAntigo,dataAbrangente,descricaoDocumento,partes,documentosRelacionadosIds,palavrasChave,dataArquivamento,quantidadeVolumes,quantidadeApensos,apensos,totalMidias,midias,digitalizado,tipoBaixa,dataBaixa,tipoPlanoClassificacao,codigoClassificacaoArquivistica,alteracaoDestinacaoFinal,necessidadeReclassificacao,segredoJustica,grauSigilo,codigosCaixa,codigoAtoM,observacoesGerais,codigoClassificacaoJudicialId,numeroListagemEliminacao,numeroDocumentoTransferencia
Arquivado,TRF2,"Secretaria de Planejamento","Digital",Textual,"Documento","Relatório de Atividades","TESTE-IMP-011","","","11/2021","Processo de teste de importação 011, relatório trimestral.","[]","","relatorio;planejamento","08/11/2021","1","0","[]","0","[]","Sim","","","Administrativo","030.5","Não Alterar","Não","Não","Ostensivo","CX-IMP-11","","","","",""
Arquivado,SJRJ,"Diretoria do Foro","Digital",Textual,"Processo Administrativo","Autorização de Viagem","TESTE-IMP-012","","","12/2021","Processo de teste de importação 012, autorização de viagem.","[]","","viagem;diaria","03/12/2021","1","0","[]","0","[]","Sim","","","Administrativo","030.5","Não Alterar","Não","Não","Ostensivo","CX-IMP-12","","","","",""
Arquivado,SJES,"Vara de Execução Fiscal","Não digital",Textual,"Processo Judicial","Embargos à Execução","TESTE-IMP-013","","","01/2022","Processo de teste de importação 013, embargos à execução fiscal.","[]","","embargos;execucao","14/01/2022","2","0","[]","0","[]","Não","","","Judicial","020.1","Não Alterar","Não","Não","Ostensivo","CX-IMP-13","","","","",""
Arquivado,TRF2,"Secretaria de Gestão de Pessoas","Não digital",Textual,"Processo Administrativo","Termo de Posse","TESTE-IMP-014","","","02/2022","Processo de teste de importação 014, termo de posse de servidor.","[{""id"":""p_imp_6"",""nome"":""Ana Lima"",""tipoParte"":""Servidor""}]","","posse;servidor","01/02/2022","1","0","[]","0","[]","Não","","","Administrativo","045.2","Não Alterar","Não","Não","Ostensivo","CX-IMP-14","","","","",""
Arquivado,TRF2,"Protocolo Geral","Digital",Textual,"Documento","Ofício Recebido","TESTE-IMP-015","","","03/2022","Processo de teste de importação 015, ofício do MPF.","[]","","oficio;mpf","10/03/2022","1","0","[]","0","[]","Sim","","","Administrativo","030.5","Não Alterar","Não","Não","Ostensivo","CX-IMP-15","","","","",""
Arquivado,SJRJ,"Vara Federal Ambiental","Não digital",Textual,"Processo Judicial","Ação Civil Pública","TESTE-IMP-016","","","04/2022","Processo de teste de importação 016, ação civil pública ambiental.","[{""id"":""p_imp_7"",""nome"":""Associação Ambiental"",""tipoParte"":""Autor""}]","","ambiental;acp","25/04/2022","10","0","[]","0","[]","Não","","","Judicial","020.1","Não Alterar","Não","Não","Ostensivo","CX-IMP-16","","","","",""
Arquivado,TRF2,"Diretoria Geral","Digital",Textual,"Processo Administrativo","Designação de Comissão","TESTE-IMP-017","","","05/2022","Processo de teste de importação 017, comissão de inventário.","[]","","comissao;inventario","09/05/2022","1","0","[]","0","[]","Sim","","","Administrativo","030.5","Não Alterar","Não","Não","Ostensivo","CX-IMP-17","","","","",""
Arquivado,TRF2,"Secretaria de Engenharia","Não digital",Textual,"Documento","Parecer Técnico","TESTE-IMP-018","","","06/2022","Processo de teste de importação 018, parecer sobre reforma.","[]","","parecer;engenharia","16/06/2022","1","0","[]","0","[]","Não","","","Administrativo","045.2","Não Alterar","Não","Não","Ostensivo","CX-IMP-18","","","","",""
Arquivado,SJES,"Vara Criminal","Não digital",Textual,"Processo Judicial","Ação Penal","TESTE-IMP-019","","","07/2022","Processo de teste de importação 019, ação penal por crime financeiro.","[{""id"":""p_imp_8"",""nome"":""Réu Exemplo"",""tipoParte"":""Réu""}]","","penal;crime financeiro","20/07/2022","8","3","[{""id"":""ap_imp_4"",""numeroApenso"":""AP-CRIME-01""}]","0","[]","Não","","","Judicial","020.1","Guarda Permanente – Decisão da CPAD","Não","Sim","Secreto","CX-IMP-19","","","","",""
Arquivado,SJRJ,"Secretaria de Tecnologia da Informação","Digital",Iconográfico,"Documento","Planta de Rede","TESTE-IMP-020","","","08/2022","Processo de teste de importação 020, planta da rede do datacenter.","[]","","planta;rede;ti","28/08/2022","1","0","[]","0","[]","Sim","","","Administrativo","045.2","Não Alterar","Não","Não","Ostensivo","CX-IMP-20","","","","",""
